Material_ID,Material_Name,Material_Archetype,Category,UOM,Current_Unit_Cost_$,Criticality
MAT-01001,Composite Utility Pole — Type 01,Composite Utility Pole,Structures,Each,2470,High
MAT-01002,Crossarm Assembly — Type 01,Crossarm Assembly,Structures,Each,479,Medium
MAT-01003,15 kV Cable — Type 01,15 kV Cable,Conductor,Foot,15,Medium
MAT-01004,35 kV Cable — Type 01,35 kV Cable,Conductor,Foot,24,Medium
MAT-01005,Pad-Mount Transformer 500 kVA — Type 01,Pad-Mount Transformer 500 kVA,Transformers,Each,25755,Critical
MAT-01006,Pole-Mount Transformer 50 kVA — Type 01,Pole-Mount Transformer 50 kVA,Transformers,Each,7431,Low
MAT-01007,Recloser Control Package — Type 01,Recloser Control Package,Protection,Each,13406,Critical
MAT-01008,Switchgear Cabinet — Type 01,Switchgear Cabinet,Protection,Each,22813,Medium
MAT-01009,Smart Meter — Type 01,Smart Meter,Metering,Each,169,Medium
MAT-01010,Communication Gateway — Type 01,Communication Gateway,Communications,Each,1206,Medium
MAT-01011,Grounding Kit — Type 01,Grounding Kit,Accessories,Kit,118,Critical
MAT-01012,Connector Set — Type 01,Connector Set,Accessories,Kit,61,Medium
MAT-01013,Composite Utility Pole — Type 02,Composite Utility Pole,Structures,Each,2441,High
MAT-01014,Crossarm Assembly — Type 02,Crossarm Assembly,Structures,Each,416,Low
MAT-01015,15 kV Cable — Type 02,15 kV Cable,Conductor,Foot,11,Medium
MAT-01016,35 kV Cable — Type 02,35 kV Cable,Conductor,Foot,25,Low
MAT-01017,Pad-Mount Transformer 500 kVA — Type 02,Pad-Mount Transformer 500 kVA,Transformers,Each,26548,Critical
MAT-01018,Pole-Mount Transformer 50 kVA — Type 02,Pole-Mount Transformer 50 kVA,Transformers,Each,5975,Medium
MAT-01019,Recloser Control Package — Type 02,Recloser Control Package,Protection,Each,17258,Critical
MAT-01020,Switchgear Cabinet — Type 02,Switchgear Cabinet,Protection,Each,21545,Medium
MAT-01021,Smart Meter — Type 02,Smart Meter,Metering,Each,132,Critical
MAT-01022,Communication Gateway — Type 02,Communication Gateway,Communications,Each,1103,Medium
MAT-01023,Grounding Kit — Type 02,Grounding Kit,Accessories,Kit,153,Critical
MAT-01024,Connector Set — Type 02,Connector Set,Accessories,Kit,60,High
MAT-01025,Composite Utility Pole — Type 03,Composite Utility Pole,Structures,Each,2368,Critical
MAT-01026,Crossarm Assembly — Type 03,Crossarm Assembly,Structures,Each,492,Low
MAT-01027,15 kV Cable — Type 03,15 kV Cable,Conductor,Foot,13,Medium
MAT-01028,35 kV Cable — Type 03,35 kV Cable,Conductor,Foot,23,Low
MAT-01029,Pad-Mount Transformer 500 kVA — Type 03,Pad-Mount Transformer 500 kVA,Transformers,Each,23886,Critical
MAT-01030,Pole-Mount Transformer 50 kVA — Type 03,Pole-Mount Transformer 50 kVA,Transformers,Each,5751,Medium
MAT-01031,Recloser Control Package — Type 03,Recloser Control Package,Protection,Each,13767,High
MAT-01032,Switchgear Cabinet — Type 03,Switchgear Cabinet,Protection,Each,20448,High
MAT-01033,Smart Meter — Type 03,Smart Meter,Metering,Each,163,High
MAT-01034,Communication Gateway — Type 03,Communication Gateway,Communications,Each,879,Medium
MAT-01035,Grounding Kit — Type 03,Grounding Kit,Accessories,Kit,112,Critical
MAT-01036,Connector Set — Type 03,Connector Set,Accessories,Kit,61,High
MAT-01037,Composite Utility Pole — Type 04,Composite Utility Pole,Structures,Each,1869,High
MAT-01038,Crossarm Assembly — Type 04,Crossarm Assembly,Structures,Each,418,Low
MAT-01039,15 kV Cable — Type 04,15 kV Cable,Conductor,Foot,13,Medium
MAT-01040,35 kV Cable — Type 04,35 kV Cable,Conductor,Foot,24,Low
MAT-01041,Pad-Mount Transformer 500 kVA — Type 04,Pad-Mount Transformer 500 kVA,Transformers,Each,32187,Critical
MAT-01042,Pole-Mount Transformer 50 kVA — Type 04,Pole-Mount Transformer 50 kVA,Transformers,Each,7848,Low
MAT-01043,Recloser Control Package — Type 04,Recloser Control Package,Protection,Each,16672,Critical
MAT-01044,Switchgear Cabinet — Type 04,Switchgear Cabinet,Protection,Each,16422,Medium
MAT-01045,Smart Meter — Type 04,Smart Meter,Metering,Each,149,Critical
MAT-01046,Communication Gateway — Type 04,Communication Gateway,Communications,Each,1065,Low
MAT-01047,Grounding Kit — Type 04,Grounding Kit,Accessories,Kit,158,Critical
MAT-01048,Connector Set — Type 04,Connector Set,Accessories,Kit,69,Critical
MAT-01049,Composite Utility Pole — Type 05,Composite Utility Pole,Structures,Each,2286,High
MAT-01050,Crossarm Assembly — Type 05,Crossarm Assembly,Structures,Each,425,Low
MAT-01051,15 kV Cable — Type 05,15 kV Cable,Conductor,Foot,13,Low
MAT-01052,35 kV Cable — Type 05,35 kV Cable,Conductor,Foot,23,Low
MAT-01053,Pad-Mount Transformer 500 kVA — Type 05,Pad-Mount Transformer 500 kVA,Transformers,Each,23360,Critical
MAT-01054,Pole-Mount Transformer 50 kVA — Type 05,Pole-Mount Transformer 50 kVA,Transformers,Each,6073,Low
MAT-01055,Recloser Control Package — Type 05,Recloser Control Package,Protection,Each,12042,High
MAT-01056,Switchgear Cabinet — Type 05,Switchgear Cabinet,Protection,Each,22421,High
MAT-01057,Smart Meter — Type 05,Smart Meter,Metering,Each,151,High
MAT-01058,Communication Gateway — Type 05,Communication Gateway,Communications,Each,1061,Medium
MAT-01059,Grounding Kit — Type 05,Grounding Kit,Accessories,Kit,123,Critical
MAT-01060,Connector Set — Type 05,Connector Set,Accessories,Kit,69,High
MAT-01061,Composite Utility Pole — Type 06,Composite Utility Pole,Structures,Each,2520,High
MAT-01062,Crossarm Assembly — Type 06,Crossarm Assembly,Structures,Each,451,Low
MAT-01063,15 kV Cable — Type 06,15 kV Cable,Conductor,Foot,14,Low
MAT-01064,35 kV Cable — Type 06,35 kV Cable,Conductor,Foot,31,Low
MAT-01065,Pad-Mount Transformer 500 kVA — Type 06,Pad-Mount Transformer 500 kVA,Transformers,Each,22609,Critical
MAT-01066,Pole-Mount Transformer 50 kVA — Type 06,Pole-Mount Transformer 50 kVA,Transformers,Each,5191,Low
MAT-01067,Recloser Control Package — Type 06,Recloser Control Package,Protection,Each,14364,High
MAT-01068,Switchgear Cabinet — Type 06,Switchgear Cabinet,Protection,Each,18352,Critical
MAT-01069,Smart Meter — Type 06,Smart Meter,Metering,Each,138,Critical
MAT-01070,Communication Gateway — Type 06,Communication Gateway,Communications,Each,1226,Low
MAT-01071,Grounding Kit — Type 06,Grounding Kit,Accessories,Kit,109,Critical
MAT-01072,Connector Set — Type 06,Connector Set,Accessories,Kit,84,Critical
MAT-01073,Composite Utility Pole — Type 07,Composite Utility Pole,Structures,Each,2583,Medium
MAT-01074,Crossarm Assembly — Type 07,Crossarm Assembly,Structures,Each,405,Low
MAT-01075,15 kV Cable — Type 07,15 kV Cable,Conductor,Foot,13,Medium
MAT-01076,35 kV Cable — Type 07,35 kV Cable,Conductor,Foot,31,Low
MAT-01077,Pad-Mount Transformer 500 kVA — Type 07,Pad-Mount Transformer 500 kVA,Transformers,Each,32524,High
MAT-01078,Pole-Mount Transformer 50 kVA — Type 07,Pole-Mount Transformer 50 kVA,Transformers,Each,7454,Low
MAT-01079,Recloser Control Package — Type 07,Recloser Control Package,Protection,Each,13086,Critical
MAT-01080,Switchgear Cabinet — Type 07,Switchgear Cabinet,Protection,Each,17297,Critical
MAT-01081,Smart Meter — Type 07,Smart Meter,Metering,Each,171,High
MAT-01082,Communication Gateway — Type 07,Communication Gateway,Communications,Each,868,Low
MAT-01083,Grounding Kit — Type 07,Grounding Kit,Accessories,Kit,120,High
MAT-01084,Connector Set — Type 07,Connector Set,Accessories,Kit,60,Critical
MAT-01085,Composite Utility Pole — Type 08,Composite Utility Pole,Structures,Each,2393,High
MAT-01086,Crossarm Assembly — Type 08,Crossarm Assembly,Structures,Each,500,Low
MAT-01087,15 kV Cable — Type 08,15 kV Cable,Conductor,Foot,14,Low
MAT-01088,35 kV Cable — Type 08,35 kV Cable,Conductor,Foot,34,Low
MAT-01089,Pad-Mount Transformer 500 kVA — Type 08,Pad-Mount Transformer 500 kVA,Transformers,Each,24919,Critical
MAT-01090,Pole-Mount Transformer 50 kVA — Type 08,Pole-Mount Transformer 50 kVA,Transformers,Each,7809,Low
MAT-01091,Recloser Control Package — Type 08,Recloser Control Package,Protection,Each,18058,High
MAT-01092,Switchgear Cabinet — Type 08,Switchgear Cabinet,Protection,Each,21121,High
MAT-01093,Smart Meter — Type 08,Smart Meter,Metering,Each,128,Medium
MAT-01094,Communication Gateway — Type 08,Communication Gateway,Communications,Each,1072,Medium
MAT-01095,Grounding Kit — Type 08,Grounding Kit,Accessories,Kit,155,Critical
MAT-01096,Connector Set — Type 08,Connector Set,Accessories,Kit,56,Critical
MAT-01097,Composite Utility Pole — Type 09,Composite Utility Pole,Structures,Each,2523,High
MAT-01098,Crossarm Assembly — Type 09,Crossarm Assembly,Structures,Each,447,Low
MAT-01099,15 kV Cable — Type 09,15 kV Cable,Conductor,Foot,15,Low
MAT-01100,35 kV Cable — Type 09,35 kV Cable,Conductor,Foot,27,Low
MAT-01101,Pad-Mount Transformer 500 kVA — Type 09,Pad-Mount Transformer 500 kVA,Transformers,Each,29117,High
MAT-01102,Pole-Mount Transformer 50 kVA — Type 09,Pole-Mount Transformer 50 kVA,Transformers,Each,5791,Low
MAT-01103,Recloser Control Package — Type 09,Recloser Control Package,Protection,Each,16866,Critical
MAT-01104,Switchgear Cabinet — Type 09,Switchgear Cabinet,Protection,Each,16162,Medium
MAT-01105,Smart Meter — Type 09,Smart Meter,Metering,Each,129,Medium
MAT-01106,Communication Gateway — Type 09,Communication Gateway,Communications,Each,868,Low
MAT-01107,Grounding Kit — Type 09,Grounding Kit,Accessories,Kit,116,Critical
MAT-01108,Connector Set — Type 09,Connector Set,Accessories,Kit,59,Medium
MAT-01109,Composite Utility Pole — Type 10,Composite Utility Pole,Structures,Each,1776,Critical
MAT-01110,Crossarm Assembly — Type 10,Crossarm Assembly,Structures,Each,459,Low
MAT-01111,15 kV Cable — Type 10,15 kV Cable,Conductor,Foot,12,Medium
MAT-01112,35 kV Cable — Type 10,35 kV Cable,Conductor,Foot,33,Low
MAT-01113,Pad-Mount Transformer 500 kVA — Type 10,Pad-Mount Transformer 500 kVA,Transformers,Each,21840,Critical
MAT-01114,Pole-Mount Transformer 50 kVA — Type 10,Pole-Mount Transformer 50 kVA,Transformers,Each,5795,Low
MAT-01115,Recloser Control Package — Type 10,Recloser Control Package,Protection,Each,14666,Medium
MAT-01116,Switchgear Cabinet — Type 10,Switchgear Cabinet,Protection,Each,20158,High
MAT-01117,Smart Meter — Type 10,Smart Meter,Metering,Each,174,High
MAT-01118,Communication Gateway — Type 10,Communication Gateway,Communications,Each,848,Medium
MAT-01119,Grounding Kit — Type 10,Grounding Kit,Accessories,Kit,161,High
MAT-01120,Connector Set — Type 10,Connector Set,Accessories,Kit,80,Critical
MAT-01121,Composite Utility Pole — Type 11,Composite Utility Pole,Structures,Each,2475,Critical
MAT-01122,Crossarm Assembly — Type 11,Crossarm Assembly,Structures,Each,444,Low
MAT-01123,15 kV Cable — Type 11,15 kV Cable,Conductor,Foot,12,Medium
MAT-01124,35 kV Cable — Type 11,35 kV Cable,Conductor,Foot,25,Low
MAT-01125,Pad-Mount Transformer 500 kVA — Type 11,Pad-Mount Transformer 500 kVA,Transformers,Each,27035,Critical
MAT-01126,Pole-Mount Transformer 50 kVA — Type 11,Pole-Mount Transformer 50 kVA,Transformers,Each,6132,Low
MAT-01127,Recloser Control Package — Type 11,Recloser Control Package,Protection,Each,14074,Medium
MAT-01128,Switchgear Cabinet — Type 11,Switchgear Cabinet,Protection,Each,18175,Critical
MAT-01129,Smart Meter — Type 11,Smart Meter,Metering,Each,180,Critical
MAT-01130,Communication Gateway — Type 11,Communication Gateway,Communications,Each,1045,Low
MAT-01131,Grounding Kit — Type 11,Grounding Kit,Accessories,Kit,146,Critical
MAT-01132,Connector Set — Type 11,Connector Set,Accessories,Kit,76,High
MAT-01133,Composite Utility Pole — Type 12,Composite Utility Pole,Structures,Each,2432,High
MAT-01134,Crossarm Assembly — Type 12,Crossarm Assembly,Structures,Each,511,Medium
MAT-01135,15 kV Cable — Type 12,15 kV Cable,Conductor,Foot,13,Low
MAT-01136,35 kV Cable — Type 12,35 kV Cable,Conductor,Foot,23,Medium
MAT-01137,Pad-Mount Transformer 500 kVA — Type 12,Pad-Mount Transformer 500 kVA,Transformers,Each,22963,High
MAT-01138,Pole-Mount Transformer 50 kVA — Type 12,Pole-Mount Transformer 50 kVA,Transformers,Each,6777,Medium
MAT-01139,Recloser Control Package — Type 12,Recloser Control Package,Protection,Each,17193,Medium
MAT-01140,Switchgear Cabinet — Type 12,Switchgear Cabinet,Protection,Each,20737,Medium
MAT-01141,Smart Meter — Type 12,Smart Meter,Metering,Each,160,Medium
MAT-01142,Communication Gateway — Type 12,Communication Gateway,Communications,Each,1062,Low
MAT-01143,Grounding Kit — Type 12,Grounding Kit,Accessories,Kit,138,Critical
MAT-01144,Connector Set — Type 12,Connector Set,Accessories,Kit,71,Critical
MAT-01145,Composite Utility Pole — Type 13,Composite Utility Pole,Structures,Each,2622,Critical
MAT-01146,Crossarm Assembly — Type 13,Crossarm Assembly,Structures,Each,361,Low
MAT-01147,15 kV Cable — Type 13,15 kV Cable,Conductor,Foot,12,Low
MAT-01148,35 kV Cable — Type 13,35 kV Cable,Conductor,Foot,26,Medium
MAT-01149,Pad-Mount Transformer 500 kVA — Type 13,Pad-Mount Transformer 500 kVA,Transformers,Each,30440,Critical
MAT-01150,Pole-Mount Transformer 50 kVA — Type 13,Pole-Mount Transformer 50 kVA,Transformers,Each,5981,Low
MAT-01151,Recloser Control Package — Type 13,Recloser Control Package,Protection,Each,12876,High
MAT-01152,Switchgear Cabinet — Type 13,Switchgear Cabinet,Protection,Each,18930,High
MAT-01153,Smart Meter — Type 13,Smart Meter,Metering,Each,156,High
MAT-01154,Communication Gateway — Type 13,Communication Gateway,Communications,Each,1020,Medium
MAT-01155,Grounding Kit — Type 13,Grounding Kit,Accessories,Kit,166,Critical
MAT-01156,Connector Set — Type 13,Connector Set,Accessories,Kit,59,Critical
MAT-01157,Composite Utility Pole — Type 14,Composite Utility Pole,Structures,Each,2337,High
MAT-01158,Crossarm Assembly — Type 14,Crossarm Assembly,Structures,Each,477,Low
MAT-01159,15 kV Cable — Type 14,15 kV Cable,Conductor,Foot,12,Low
MAT-01160,35 kV Cable — Type 14,35 kV Cable,Conductor,Foot,28,Low
MAT-01161,Pad-Mount Transformer 500 kVA — Type 14,Pad-Mount Transformer 500 kVA,Transformers,Each,24931,Critical
MAT-01162,Pole-Mount Transformer 50 kVA — Type 14,Pole-Mount Transformer 50 kVA,Transformers,Each,5399,Medium
MAT-01163,Recloser Control Package — Type 14,Recloser Control Package,Protection,Each,17754,Critical
MAT-01164,Switchgear Cabinet — Type 14,Switchgear Cabinet,Protection,Each,16510,Critical
MAT-01165,Smart Meter — Type 14,Smart Meter,Metering,Each,163,High
MAT-01166,Communication Gateway — Type 14,Communication Gateway,Communications,Each,1208,Low
MAT-01167,Grounding Kit — Type 14,Grounding Kit,Accessories,Kit,121,Critical
MAT-01168,Connector Set — Type 14,Connector Set,Accessories,Kit,62,Critical
MAT-01169,Composite Utility Pole — Type 15,Composite Utility Pole,Structures,Each,2356,Medium
MAT-01170,Crossarm Assembly — Type 15,Crossarm Assembly,Structures,Each,354,Low
MAT-01171,15 kV Cable — Type 15,15 kV Cable,Conductor,Foot,14,Low
MAT-01172,35 kV Cable — Type 15,35 kV Cable,Conductor,Foot,23,Medium
MAT-01173,Pad-Mount Transformer 500 kVA — Type 15,Pad-Mount Transformer 500 kVA,Transformers,Each,32416,Critical
MAT-01174,Pole-Mount Transformer 50 kVA — Type 15,Pole-Mount Transformer 50 kVA,Transformers,Each,7474,Medium
MAT-01175,Recloser Control Package — Type 15,Recloser Control Package,Protection,Each,13236,Critical
MAT-01176,Switchgear Cabinet — Type 15,Switchgear Cabinet,Protection,Each,22093,High
MAT-01177,Smart Meter — Type 15,Smart Meter,Metering,Each,176,Critical
MAT-01178,Communication Gateway — Type 15,Communication Gateway,Communications,Each,891,Medium
MAT-01179,Grounding Kit — Type 15,Grounding Kit,Accessories,Kit,149,Critical
MAT-01180,Connector Set — Type 15,Connector Set,Accessories,Kit,57,High
MAT-01181,Composite Utility Pole — Type 16,Composite Utility Pole,Structures,Each,1763,High
MAT-01182,Crossarm Assembly — Type 16,Crossarm Assembly,Structures,Each,378,Medium
MAT-01183,15 kV Cable — Type 16,15 kV Cable,Conductor,Foot,11,Low
MAT-01184,35 kV Cable — Type 16,35 kV Cable,Conductor,Foot,32,Low
MAT-01185,Pad-Mount Transformer 500 kVA — Type 16,Pad-Mount Transformer 500 kVA,Transformers,Each,28166,High
MAT-01186,Pole-Mount Transformer 50 kVA — Type 16,Pole-Mount Transformer 50 kVA,Transformers,Each,5943,Medium
MAT-01187,Recloser Control Package — Type 16,Recloser Control Package,Protection,Each,16558,High
MAT-01188,Switchgear Cabinet — Type 16,Switchgear Cabinet,Protection,Each,16877,Critical
MAT-01189,Smart Meter — Type 16,Smart Meter,Metering,Each,146,Medium
MAT-01190,Communication Gateway — Type 16,Communication Gateway,Communications,Each,864,Low
MAT-01191,Grounding Kit — Type 16,Grounding Kit,Accessories,Kit,125,Critical
MAT-01192,Connector Set — Type 16,Connector Set,Accessories,Kit,76,High
MAT-01193,Composite Utility Pole — Type 17,Composite Utility Pole,Structures,Each,2117,Critical
