Demand_Month,Region,Material_ID,Material_Name,Historical_Usage_Qty,Open_Project_Demand_Qty,Seasonality_Index,Trend_Index,Forecast_Need_Qty,Safety_Stock_Qty,Total_Required_Qty,Available_Qty,Projected_Shortage_Qty,Projected_Shortage_Cost_$,Forecast_Scenario
2022-01-01,North,MAT-1001,Composite Utility Pole,214,19,0.87,1.0,203,41,244,242,2,4200,Base
2022-02-01,North,MAT-1001,Composite Utility Pole,192,11,0.92,1.01,189,38,227,219,8,16800,Base
2022-03-01,North,MAT-1001,Composite Utility Pole,230,14,1.0,1.02,249,50,299,255,44,92400,Base
2022-04-01,North,MAT-1001,Composite Utility Pole,206,84,1.08,1.03,323,65,388,353,35,73500,Base
2022-05-01,North,MAT-1001,Composite Utility Pole,282,26,1.13,1.041,362,72,434,420,14,29400,Base
2022-06-01,North,MAT-1001,Composite Utility Pole,220,63,1.15,1.051,342,68,410,475,0,0,Base
2022-07-01,North,MAT-1001,Composite Utility Pole,251,44,1.13,1.062,354,71,425,513,0,0,Base
2022-08-01,North,MAT-1001,Composite Utility Pole,241,99,1.08,1.072,394,79,473,454,19,39900,Base
2022-09-01,North,MAT-1001,Composite Utility Pole,208,40,1.0,1.083,269,54,323,366,0,0,Base
2022-10-01,North,MAT-1001,Composite Utility Pole,176,34,0.92,1.094,211,42,253,323,0,0,Base
2022-11-01,North,MAT-1001,Composite Utility Pole,218,12,0.87,1.105,221,44,265,233,32,67200,Base
2022-12-01,North,MAT-1001,Composite Utility Pole,154,41,0.85,1.116,185,37,222,208,14,29400,Base
2023-01-01,North,MAT-1001,Composite Utility Pole,169,57,0.87,1.127,222,44,266,383,0,0,Base
2023-02-01,North,MAT-1001,Composite Utility Pole,228,12,0.92,1.138,251,50,301,290,11,23100,Base
2023-03-01,North,MAT-1001,Composite Utility Pole,229,27,1.0,1.149,294,59,353,360,0,0,Base
2023-04-01,North,MAT-1001,Composite Utility Pole,241,35,1.08,1.161,346,69,415,576,0,0,Base
2023-05-01,North,MAT-1001,Composite Utility Pole,203,34,1.13,1.173,314,63,377,341,36,75600,Base
2023-06-01,North,MAT-1001,Composite Utility Pole,216,87,1.15,1.184,413,83,496,654,0,0,Base
2023-07-01,North,MAT-1001,Composite Utility Pole,283,22,1.13,1.196,412,82,494,435,59,123900,Base
2023-08-01,North,MAT-1001,Composite Utility Pole,223,48,1.08,1.208,354,71,425,491,0,0,Base
2023-09-01,North,MAT-1001,Composite Utility Pole,234,23,1.0,1.22,314,63,377,338,39,81900,Base
2023-10-01,North,MAT-1001,Composite Utility Pole,210,62,0.92,1.232,308,62,370,374,0,0,Base
2023-11-01,North,MAT-1001,Composite Utility Pole,214,68,0.87,1.245,305,61,366,357,9,18900,Base
2023-12-01,North,MAT-1001,Composite Utility Pole,204,87,0.85,1.257,311,62,373,447,0,0,Base
2024-01-01,North,MAT-1001,Composite Utility Pole,189,76,0.87,1.27,293,59,352,333,19,39900,Base
2024-02-01,North,MAT-1001,Composite Utility Pole,224,35,0.92,1.282,306,61,367,525,0,0,Base
2024-03-01,North,MAT-1001,Composite Utility Pole,212,78,1.0,1.295,376,75,451,586,0,0,Base
2024-04-01,North,MAT-1001,Composite Utility Pole,203,66,1.08,1.308,380,76,456,656,0,0,Base
2024-05-01,North,MAT-1001,Composite Utility Pole,272,111,1.13,1.321,572,114,686,761,0,0,Base
2024-06-01,North,MAT-1001,Composite Utility Pole,250,76,1.15,1.335,500,100,600,721,0,0,Base
2024-07-01,North,MAT-1001,Composite Utility Pole,287,41,1.13,1.348,500,100,600,580,20,42000,Base
2024-08-01,North,MAT-1001,Composite Utility Pole,205,64,1.08,1.361,395,79,474,468,6,12600,Base
2024-09-01,North,MAT-1001,Composite Utility Pole,180,22,1.0,1.375,278,56,334,300,34,71400,Base
2024-10-01,North,MAT-1001,Composite Utility Pole,214,85,0.92,1.389,382,76,458,650,0,0,Base
2024-11-01,North,MAT-1001,Composite Utility Pole,208,79,0.87,1.403,350,70,420,544,0,0,Base
2024-12-01,North,MAT-1001,Composite Utility Pole,185,23,0.85,1.417,250,50,300,287,13,27300,Base
