Subproject_ID,Project_ID,Material_ID,Required_Date,Estimated_Qty,Reserved_Qty,Issued_Qty,Forecast_Unit_Cost_$,Forecast_Material_Cost_$,Availability_Status,Lead_Time_Risk,Need_By_Quarter
PRJ-000001-SP01,PRJ-000001,MAT-1001,2028-04-01,68,13,6,2100,142800,Partial,Within Lead Time,Q2 2028
PRJ-000001-SP02,PRJ-000001,MAT-1005,2027-01-01,77,51,14,26000,2002000,Partial,Within Lead Time,Q1 2027
PRJ-000001-SP03,PRJ-000001,MAT-1002,2028-01-01,26,25,4,420,10920,Partial,Within Lead Time,Q1 2028
PRJ-000001-SP04,PRJ-000001,MAT-1011,2028-11-01,41,36,11,130,5330,Partial,Within Lead Time,Q4 2028
PRJ-000001-SP05,PRJ-000001,MAT-1002,2028-03-01,36,1,0,420,15120,Partial,Within Lead Time,Q1 2028
PRJ-000001-SP06,PRJ-000001,MAT-1011,2026-06-01,21,2,1,130,2730,Partial,At Risk,Q2 2026
PRJ-000001-SP07,PRJ-000001,MAT-1006,2028-03-01,27,12,9,6200,167400,Partial,Within Lead Time,Q1 2028
PRJ-000001-SP08,PRJ-000001,MAT-1012,2027-04-01,15,15,6,68,1020,Partial,Within Lead Time,Q2 2027
PRJ-000002-SP01,PRJ-000002,MAT-1005,2027-08-01,53,20,13,26000,1378000,Partial,Within Lead Time,Q3 2027
PRJ-000002-SP02,PRJ-000002,MAT-1008,2027-04-01,71,30,22,19000,1349000,Partial,Within Lead Time,Q2 2027
PRJ-000002-SP03,PRJ-000002,MAT-1011,2026-04-01,60,48,27,130,7800,Partial,At Risk,Q2 2026
PRJ-000002-SP04,PRJ-000002,MAT-1003,2026-12-01,1970,1712,1314,12,23640,Partial,Within Lead Time,Q4 2026
PRJ-000002-SP05,PRJ-000002,MAT-1001,2028-02-01,49,3,3,2100,102900,Partial,Within Lead Time,Q1 2028
PRJ-000002-SP06,PRJ-000002,MAT-1001,2028-02-01,76,6,5,2100,159600,Partial,Within Lead Time,Q1 2028
PRJ-000003-SP01,PRJ-000003,MAT-1003,2027-10-01,4149,922,419,12,49788,Partial,Within Lead Time,Q4 2027
PRJ-000003-SP02,PRJ-000003,MAT-1009,2027-10-01,75,8,4,145,10875,Partial,Within Lead Time,Q4 2027
PRJ-000003-SP03,PRJ-000003,MAT-1012,2026-03-01,74,52,40,68,5032,Partial,At Risk,Q1 2026
PRJ-000003-SP04,PRJ-000003,MAT-1005,2027-12-01,17,7,6,26000,442000,Partial,Within Lead Time,Q4 2027
