Demand_Month,Region,Material_ID,Material_Name,Category,UOM,Historical_Usage_Qty,Open_Project_Demand_Qty,Seasonality_Index,Trend_Index,Forecast_Need_Qty,Safety_Stock_Qty,Total_Required_Qty,Available_Qty,Projected_Shortage_Qty,Projected_Shortage_Cost_$,Current_Unit_Cost_$,Forecast_Scenario
2022-01-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,188,22,0.87,1.0,183,37,220,229,0,0,2470,Base
2022-02-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,212,41,0.92,1.01,235,47,282,326,0,0,2470,Base
2022-03-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,180,25,1.0,1.02,209,42,251,277,0,0,2470,Base
2022-04-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,256,18,1.08,1.03,305,61,366,321,45,111150,2470,Base
2022-05-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,276,79,1.13,1.041,417,83,500,623,0,0,2470,Base
2022-06-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,265,107,1.15,1.051,450,90,540,779,0,0,2470,Base
2022-07-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,253,66,1.13,1.062,383,77,460,445,15,37050,2470,Base
2022-08-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,272,83,1.08,1.072,411,82,493,534,0,0,2470,Base
2022-09-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,241,33,1.0,1.083,297,59,356,380,0,0,2470,Base
2022-10-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,188,25,0.92,1.094,214,43,257,344,0,0,2470,Base
2022-11-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,231,76,0.87,1.105,295,59,354,513,0,0,2470,Base
2022-12-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,206,52,0.85,1.116,245,49,294,357,0,0,2470,Base
2023-01-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,233,84,0.87,1.127,311,62,373,454,0,0,2470,Base
2023-02-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,245,99,0.92,1.138,360,72,432,494,0,0,2470,Base
2023-03-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,262,37,1.0,1.149,344,69,413,448,0,0,2470,Base
2023-04-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,267,31,1.08,1.161,374,75,449,396,53,130910,2470,Base
2023-05-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,265,32,1.13,1.173,394,79,473,452,21,51870,2470,Base
2023-06-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,224,50,1.15,1.184,373,75,448,634,0,0,2470,Base
2023-07-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,258,27,1.13,1.196,385,77,462,566,0,0,2470,Base
2023-08-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,268,90,1.08,1.208,467,93,560,481,79,195130,2470,Base
2023-09-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,226,43,1.0,1.22,328,66,394,551,0,0,2470,Base
2023-10-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,237,86,0.92,1.232,366,73,439,605,0,0,2470,Base
2023-11-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,165,28,0.87,1.245,209,42,251,260,0,0,2470,Base
2023-12-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,182,80,0.85,1.257,280,56,336,379,0,0,2470,Base
2024-01-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,196,37,0.87,1.27,257,51,308,357,0,0,2470,Base
2024-02-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,201,50,0.92,1.282,296,59,355,458,0,0,2470,Base
2024-03-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,189,70,1.0,1.295,335,67,402,520,0,0,2470,Base
2024-04-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,209,33,1.08,1.308,342,68,410,391,19,46930,2470,Base
2024-05-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,288,63,1.13,1.321,524,105,629,787,0,0,2470,Base
2024-06-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,256,92,1.15,1.335,534,107,641,850,0,0,2470,Base
2024-07-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,208,44,1.13,1.348,384,77,461,396,65,160550,2470,Base
2024-08-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,195,71,1.08,1.361,391,78,469,409,60,148200,2470,Base
2024-09-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,222,95,1.0,1.375,436,87,523,518,5,12350,2470,Base
2024-10-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,179,44,0.92,1.389,285,57,342,462,0,0,2470,Base
2024-11-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,211,30,0.87,1.403,294,59,353,500,0,0,2470,Base
2024-12-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,213,19,0.85,1.417,279,56,335,383,0,0,2470,Base
2025-01-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,174,15,0.87,1.431,235,47,282,272,10,24700,2470,Base
2025-02-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,214,67,0.92,1.445,374,75,449,449,0,0,2470,Base
2025-03-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,193,16,1.0,1.46,305,61,366,383,0,0,2470,Base
2025-04-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,223,33,1.08,1.474,408,82,490,620,0,0,2470,Base
2025-05-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,293,39,1.13,1.489,559,112,671,836,0,0,2470,Base
2025-06-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,263,84,1.15,1.504,600,120,720,856,0,0,2470,Base
2025-07-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,293,87,1.13,1.519,652,130,782,976,0,0,2470,Base
2025-08-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,216,37,1.08,1.534,419,84,503,706,0,0,2470,Base
2025-09-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,209,81,1.0,1.549,449,90,539,651,0,0,2470,Base
2025-10-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,204,63,0.92,1.565,384,77,461,488,0,0,2470,Base
2025-11-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,194,83,0.87,1.58,381,76,457,502,0,0,2470,Base
2025-12-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,229,50,0.85,1.596,379,76,455,577,0,0,2470,Base
2026-01-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,165,16,0.87,1.612,254,51,305,400,0,0,2470,Base
2026-02-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,235,79,0.92,1.628,470,94,564,512,52,128440,2470,Base
2026-03-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,257,54,1.0,1.645,511,102,613,784,0,0,2470,Base
2026-04-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,247,50,1.08,1.661,533,107,640,634,6,14820,2470,Base
2026-05-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,238,22,1.13,1.678,493,99,592,637,0,0,2470,Base
2026-06-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,260,97,1.15,1.694,696,139,835,1185,0,0,2470,Base
2026-07-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,232,15,1.13,1.711,478,96,574,707,0,0,2470,Base
2026-08-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,271,86,1.08,1.729,666,133,799,1057,0,0,2470,Base
2026-09-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,224,54,1.0,1.746,485,97,582,605,0,0,2470,Base
2026-10-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,242,12,0.92,1.763,412,82,494,486,8,19760,2470,Base
2026-11-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,205,61,0.87,1.781,412,82,494,688,0,0,2470,Base
2026-12-01,North,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,192,85,0.85,1.799,424,85,509,525,0,0,2470,Base
2022-01-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,200,78,0.87,1.0,242,48,290,255,35,86450,2470,Base
2022-02-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,196,21,0.92,1.01,202,40,242,210,32,79040,2470,Base
2022-03-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,247,98,1.0,1.02,352,70,422,379,43,106210,2470,Base
2022-04-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,201,78,1.08,1.03,310,62,372,455,0,0,2470,Base
2022-05-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,286,122,1.13,1.041,480,96,576,802,0,0,2470,Base
2022-06-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,275,99,1.15,1.051,452,90,542,693,0,0,2470,Base
2022-07-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,275,33,1.13,1.062,369,74,443,416,27,66690,2470,Base
2022-08-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,228,76,1.08,1.072,352,70,422,590,0,0,2470,Base
2022-09-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,241,106,1.0,1.083,376,75,451,576,0,0,2470,Base
2022-10-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,180,72,0.92,1.094,254,51,305,377,0,0,2470,Base
2022-11-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,204,78,0.87,1.105,271,54,325,303,22,54340,2470,Base
